flow_id,sender,receiver,flow_size,total_sent,total_received,duration,progress,source_ip,destination_ip
1,h416,h74,667000,666624.0,666624.0,2.8759,99.94362818590704,10.0.4.31,10.0.7.7
2,h116,h810,667000,666624.0,666624.0,2.4849,99.94362818590704,10.0.1.31,10.0.8.19
3,h111,h814,6000,6000.64,6000.64,0.0074,100.01066666666667,10.0.1.21,10.0.8.27
4,h24,h911,6000,6000.64,6000.64,0.0055,100.01066666666667,10.0.2.7,10.0.9.21
5,h21,h615,6000,6000.64,6000.64,0.0046,100.01066666666667,10.0.2.1,10.0.6.29
6,h314,h59,133000,133120.0,133120.0,0.7598,100.09022556390978,10.0.3.27,10.0.5.17
7,h13,h816,6000,6000.64,6000.64,0.004,100.01066666666667,10.0.1.5,10.0.8.31
8,h47,h78,53000,53043.2,53043.2,0.2945,100.08150943396225,10.0.4.13,10.0.7.15
9,h414,h76,3333000,3334471.68,3334471.68,6.3465,100.04415481548155,10.0.4.27,10.0.7.11
10,h41,h610,19000,19046.4,19046.4,0.1063,100.2442105263158,10.0.4.1,10.0.6.19
11,h18,h913,13000,13004.8,13004.8,0.0095,100.03692307692307,10.0.1.15,10.0.9.25
12,h32,h711,3333000,3334471.68,3334471.68,8.6431,100.04415481548155,10.0.3.3,10.0.7.21
13,h115,h811,13000,13004.8,13004.8,0.0101,100.03692307692307,10.0.1.29,10.0.8.21
14,h52,h64,6000,6000.64,6000.64,0.0036,100.01066666666667,10.0.5.3,10.0.6.7
15,h211,h86,53000,53043.2,53043.2,0.2503,100.08150943396225,10.0.2.21,10.0.8.11
16,h45,h79,19000,19046.4,19046.4,0.1046,100.2442105263158,10.0.4.9,10.0.7.17
17,h43,h69,667000,666624.0,666624.0,1.7445,99.94362818590704,10.0.4.5,10.0.6.17
18,h214,h713,133000,133120.0,133120.0,0.666,100.09022556390978,10.0.2.27,10.0.7.25
19,h35,h97,53000,53043.2,53043.2,0.382,100.08150943396225,10.0.3.9,10.0.9.13
20,h215,h85,19000,19046.4,19046.4,0.1159,100.2442105263158,10.0.2.29,10.0.8.9
21,h33,h511,20000000,20027801.6,20027801.6,13.2504,100.13900800000002,10.0.3.5,10.0.5.21
22,h34,h98,667000,666624.0,666624.0,1.8328,99.94362818590704,10.0.3.7,10.0.9.15
23,h213,h910,13000,13004.8,13004.8,0.0148,100.03692307692307,10.0.2.25,10.0.9.19
24,h23,h89,6000,6000.64,6000.64,0.0045,100.01066666666667,10.0.2.5,10.0.8.17
25,h37,h510,133000,133120.0,133120.0,0.707,100.09022556390978,10.0.3.13,10.0.5.19
26,h311,h95,19000,19046.4,19046.4,0.1716,100.2442105263158,10.0.3.21,10.0.9.9
27,h114,h812,133000,133120.0,133120.0,0.6784,100.09022556390978,10.0.1.27,10.0.8.23
28,h412,h91,19000,19046.4,19046.4,0.1306,100.2442105263158,10.0.4.23,10.0.9.1
29,h25,h715,6667000,6668943.36,6668943.36,10.1505,100.02914894255288,10.0.2.9,10.0.7.29
30,h51,h65,1333000,1331691.52,1331691.52,3.035,99.90183945986497,10.0.5.1,10.0.6.9
31,h36,h96,667000,666624.0,666624.0,2.247,99.94362818590704,10.0.3.11,10.0.9.11
32,h410,h92,53000,53043.2,53043.2,0.3223,100.08150943396225,10.0.4.19,10.0.9.3
33,h415,h75,133000,133120.0,133120.0,0.6679,100.09022556390978,10.0.4.29,10.0.7.9
34,h17,h914,133000,133120.0,133120.0,1.0207,100.09022556390978,10.0.1.13,10.0.9.27
35,h212,h512,6000,6000.64,6000.64,0.0057,100.01066666666667,10.0.2.23,10.0.5.23
36,h27,h513,1333000,1331691.52,1331691.52,3.8186,99.90183945986497,10.0.2.13,10.0.5.25
37,h316,h611,1333000,1331691.52,1331691.52,3.769,99.90183945986497,10.0.3.31,10.0.6.21
38,h411,h67,13000,13004.8,13004.8,0.0032,100.03692307692307,10.0.4.21,10.0.6.13
39,h14,h616,133000,133120.0,133120.0,0.8354,100.09022556390978,10.0.1.7,10.0.6.31
40,h38,h84,6667000,6668943.36,6668943.36,6.1046,100.02914894255288,10.0.3.15,10.0.8.7
41,h57,h72,133000,133120.0,133120.0,0.809,100.09022556390978,10.0.5.13,10.0.7.3
42,h313,h612,53000,53043.2,53043.2,0.4625,100.08150943396225,10.0.3.25,10.0.6.23
43,h310,h710,133000,133120.0,133120.0,0.9129,100.09022556390978,10.0.3.19,10.0.7.19
44,h42,h94,6000,6000.64,6000.64,0.0109,100.01066666666667,10.0.4.3,10.0.9.7
45,h28,h714,133000,133120.0,133120.0,0.852,100.09022556390978,10.0.2.15,10.0.7.27
46,h210,h614,1333000,1331691.52,1331691.52,3.061,99.90183945986497,10.0.2.19,10.0.6.27
47,h56,h61,3333000,3334471.68,3334471.68,4.9551,100.04415481548155,10.0.5.11,10.0.6.1
48,h53,h73,6000,6000.64,6000.64,0.0021,100.01066666666667,10.0.5.5,10.0.7.5
49,h216,h712,20000000,20027801.6,20027801.6,14.68,100.13900800000002,10.0.2.31,10.0.7.23
50,h58,h71,3333000,3334471.68,3334471.68,9.7648,100.04415481548155,10.0.5.15,10.0.7.1
51,h113,h813,1333000,1331691.52,1331691.52,3.6441,99.90183945986497,10.0.1.25,10.0.8.25
52,h29,h87,6000,6000.64,6000.64,0.0062,100.01066666666667,10.0.2.17,10.0.8.13
53,h55,h62,1333000,1331691.52,1331691.52,4.2789,99.90183945986497,10.0.5.9,10.0.6.3
54,h26,h88,133000,133120.0,133120.0,0.3391,100.09022556390978,10.0.2.11,10.0.8.15
55,h312,h83,53000,53043.2,53043.2,0.3324,100.08150943396225,10.0.3.23,10.0.8.5
56,h22,h514,6000,6000.64,6000.64,0.0049,100.01066666666667,10.0.2.3,10.0.5.27
57,h44,h81,1333000,1331691.52,1331691.52,3.9016,99.90183945986497,10.0.4.7,10.0.8.1
58,h49,h68,133000,133120.0,133120.0,0.4723,100.09022556390978,10.0.4.17,10.0.6.15
59,h39,h613,19000,19046.4,19046.4,0.1384,100.2442105263158,10.0.3.17,10.0.6.25
60,h46,h93,3333000,3334471.68,3334471.68,4.0581,100.04415481548155,10.0.4.11,10.0.9.5
