flow_id,source_id,dest_id,source_ip,dest_ip,throughput_mbps,flow_size_bytes,expected_flow_size,duration
39,14,616,10.0.1.7,10.0.6.31,2.4,133120.0,133000,0.4436
32,410,92,10.0.4.19,10.0.9.3,3.0,53043.2,53000,0.1415
8,47,78,10.0.4.13,10.0.7.15,3.78,53043.2,53000,0.1122
67,315,82,10.0.3.29,10.0.8.3,4.21,19046.4,19000,0.0361
5,21,615,10.0.2.1,10.0.6.29,6.3,6000.64,6000,0.0076
30,51,65,10.0.5.1,10.0.6.9,7.12,1331691.52,1333000,1.4982
48,53,73,10.0.5.5,10.0.7.5,24.9,6000.64,6000,0.0019
56,22,514,10.0.2.3,10.0.5.27,9.01,6000.64,6000,0.0053
52,29,87,10.0.2.17,10.0.8.13,10.9,6000.64,6000,0.0044
42,313,612,10.0.3.25,10.0.6.23,3.45,53043.2,53000,0.1229
50,58,71,10.0.5.15,10.0.7.1,4.46,3334471.68,3333000,5.9757
11,18,913,10.0.1.15,10.0.9.25,7.52,13004.8,13000,0.0138
53,55,62,10.0.5.9,10.0.6.3,8.86,1331691.52,1333000,1.2041
36,27,513,10.0.2.13,10.0.5.25,5.44,1331691.52,1333000,1.9595
54,26,88,10.0.2.11,10.0.8.15,4.81,133120.0,133000,0.221
61,413,66,10.0.4.25,10.0.6.11,5.16,133120.0,133000,0.2063
6,314,59,10.0.3.27,10.0.5.17,3.9,133120.0,133000,0.2732
38,411,67,10.0.4.21,10.0.6.13,12.9,13004.8,13000,0.0081
41,57,72,10.0.5.13,10.0.7.3,2.29,133120.0,133000,0.4637
47,56,61,10.0.5.11,10.0.6.1,13.8,3334471.68,3333000,1.9282
58,49,68,10.0.4.17,10.0.6.15,5.38,133120.0,133000,0.1977
62,112,912,10.0.1.23,10.0.9.23,6.35,666624.0,667000,0.8398
25,37,510,10.0.3.13,10.0.5.19,4.43,133120.0,133000,0.2404
14,52,64,10.0.5.3,10.0.6.7,11.1,6000.64,6000,0.0043
16,45,79,10.0.4.9,10.0.7.17,3.21,19046.4,19000,0.0474
13,115,811,10.0.1.29,10.0.8.21,24.9,13004.8,13000,0.0042
26,311,95,10.0.3.21,10.0.9.9,1.51,19046.4,19000,0.1006
3,111,814,10.0.1.21,10.0.8.27,36.9,6000.64,6000,0.0013
70,15,915,10.0.1.9,10.0.9.29,6.26,3334471.68,3333000,4.258
20,215,85,10.0.2.29,10.0.8.9,2.3,19046.4,19000,0.0662
27,114,812,10.0.1.27,10.0.8.23,2.15,133120.0,133000,0.4956
44,42,94,10.0.4.3,10.0.9.7,18.1,6000.64,6000,0.0027
46,210,614,10.0.2.19,10.0.6.27,10.7,1331691.52,1333000,0.999
64,54,63,10.0.5.7,10.0.6.5,2.45,53043.2,53000,0.1734
4,24,911,10.0.2.7,10.0.9.21,6.28,6000.64,6000,0.0076
57,44,81,10.0.4.7,10.0.8.1,7.94,1331691.52,1333000,1.3423
43,310,710,10.0.3.19,10.0.7.19,3.49,133120.0,133000,0.305
34,17,914,10.0.1.13,10.0.9.27,3.66,133120.0,133000,0.2906
65,12,516,10.0.1.3,10.0.5.31,2.91,133120.0,133000,0.3652
63,19,716,10.0.1.17,10.0.7.31,6.23,3334471.68,3333000,4.2813
2,116,810,10.0.1.31,10.0.8.19,3.91,666624.0,667000,1.3645
1,416,74,10.0.4.31,10.0.7.7,5.83,666624.0,667000,0.9159
49,216,712,10.0.2.31,10.0.7.23,25.5,20027801.6,20000000,6.2654
31,36,96,10.0.3.11,10.0.9.11,3.82,666624.0,667000,1.3979
18,214,713,10.0.2.27,10.0.7.25,4.33,133120.0,133000,0.2455
22,34,98,10.0.3.7,10.0.9.15,5.25,666624.0,667000,1.0161
68,110,815,10.0.1.19,10.0.8.29,16.4,6668943.36,6667000,3.2469
23,213,910,10.0.2.25,10.0.9.19,15.8,13004.8,13000,0.0066
17,43,69,10.0.4.5,10.0.6.17,6.85,666624.0,667000,0.7795
40,38,84,10.0.3.15,10.0.8.7,23.5,6668943.36,6667000,2.266
10,41,610,10.0.4.1,10.0.6.19,6.91,19046.4,19000,0.022
24,23,89,10.0.2.5,10.0.8.17,6.45,6000.64,6000,0.0074
28,412,91,10.0.4.23,10.0.9.1,2.69,19046.4,19000,0.0565
60,46,93,10.0.4.11,10.0.9.5,16.1,3334471.68,3333000,1.6587
66,11,916,10.0.1.1,10.0.9.31,12.2,6668943.36,6667000,4.3764
69,31,99,10.0.3.1,10.0.9.17,3.32,133120.0,133000,0.3205
7,13,816,10.0.1.5,10.0.8.31,10.9,6000.64,6000,0.0044
9,414,76,10.0.4.27,10.0.7.11,6.19,3334471.68,3333000,4.306
12,32,711,10.0.3.3,10.0.7.21,8.09,3334471.68,3333000,3.2944
37,316,611,10.0.3.31,10.0.6.21,7.68,1331691.52,1333000,1.3881
51,113,813,10.0.1.25,10.0.8.25,4.91,1331691.52,1333000,2.1732
72,48,77,10.0.4.15,10.0.7.13,5.93,666624.0,667000,0.9002
71,16,515,10.0.1.11,10.0.5.29,9.21,6668943.36,6667000,5.7891
21,33,511,10.0.3.5,10.0.5.21,26.6,20027801.6,20000000,6.0223
15,211,86,10.0.2.21,10.0.8.11,3.26,53043.2,53000,0.1301
33,415,75,10.0.4.29,10.0.7.9,3.45,133120.0,133000,0.3087
45,28,714,10.0.2.15,10.0.7.27,4.65,133120.0,133000,0.2288
59,39,613,10.0.3.17,10.0.6.25,3.8,19046.4,19000,0.04
55,312,83,10.0.3.23,10.0.8.5,5.58,53043.2,53000,0.076
