=== SimpleSwitch started at 1745612616881008 with 1 queue per port ===
1745612617048503 - DROP: Packet 0 at end of ingress (egress_spec == drop_port)
1745612617200468 - DROP: Packet 1 at end of ingress (egress_spec == drop_port)
1745612617264350 - DROP: Packet 2 at end of ingress (egress_spec == drop_port)
1745612617329420 - DROP: Packet 3 at end of ingress (egress_spec == drop_port)
=== SimpleSwitch started at 1745612617445426 with 1 queue per port ===
1745612617456188 - DROP: Packet 4 at end of ingress (egress_spec == drop_port)
1745612617584171 - DROP: Packet 5 at end of ingress (egress_spec == drop_port)
1745612617584222 - DROP: Packet 6 at end of ingress (egress_spec == drop_port)
1745612617584415 - DROP: Packet 0 at end of ingress (egress_spec == drop_port)
1745612617648447 - DROP: Packet 1 at end of ingress (egress_spec == drop_port)
1745612617648576 - DROP: Packet 2 at end of ingress (egress_spec == drop_port)
1745612617648700 - DROP: Packet 3 at end of ingress (egress_spec == drop_port)
1745612617649158 - DROP: Packet 7 at end of ingress (egress_spec == drop_port)
1745612617651112 - DROP: Packet 4 at end of ingress (egress_spec == drop_port)
1745612617651241 - DROP: Packet 5 at end of ingress (egress_spec == drop_port)
1745612617652449 - DROP: Packet 6 at end of ingress (egress_spec == drop_port)
1745612617713240 - DROP: Packet 7 at end of ingress (egress_spec == drop_port)
1745612617713324 - DROP: Packet 8 at end of ingress (egress_spec == drop_port)
1745612617715590 - DROP: Packet 9 at end of ingress (egress_spec == drop_port)
1745612617715678 - DROP: Packet 10 at end of ingress (egress_spec == drop_port)
1745612617747551 - DROP: Packet 8 at end of ingress (egress_spec == drop_port)
1745612617748747 - DROP: Packet 9 at end of ingress (egress_spec == drop_port)
1745612617773298 - DROP: Packet 11 at end of ingress (egress_spec == drop_port)
1745612617776323 - DROP: Packet 12 at end of ingress (egress_spec == drop_port)
1745612617780596 - DROP: Packet 13 at end of ingress (egress_spec == drop_port)
1745612617781695 - DROP: Packet 14 at end of ingress (egress_spec == drop_port)
1745612617814515 - DROP: Packet 15 at end of ingress (egress_spec == drop_port)
1745612617816417 - DROP: Packet 10 at end of ingress (egress_spec == drop_port)
1745612617876945 - DROP: Packet 16 at end of ingress (egress_spec == drop_port)
1745612617894276 - DROP: Packet 11 at end of ingress (egress_spec == drop_port)
1745612617897582 - DROP: Packet 12 at end of ingress (egress_spec == drop_port)
1745612617958672 - DROP: Packet 17 at end of ingress (egress_spec == drop_port)
=== SimpleSwitch started at 1745612617991588 with 1 queue per port ===
1745612617993298 - DROP: Packet 13 at end of ingress (egress_spec == drop_port)
1745612618022488 - DROP: Packet 18 at end of ingress (egress_spec == drop_port)
1745612618032300 - DROP: Packet 14 at end of ingress (egress_spec == drop_port)
1745612618032434 - DROP: Packet 15 at end of ingress (egress_spec == drop_port)
1745612618035351 - DROP: Packet 16 at end of ingress (egress_spec == drop_port)
1745612618095284 - DROP: Packet 19 at end of ingress (egress_spec == drop_port)
1745612618096308 - DROP: Packet 17 at end of ingress (egress_spec == drop_port)
1745612618098550 - DROP: Packet 18 at end of ingress (egress_spec == drop_port)
1745612618101197 - DROP: Packet 19 at end of ingress (egress_spec == drop_port)
1745612618101685 - DROP: Packet 20 at end of ingress (egress_spec == drop_port)
1745612618103838 - DROP: Packet 21 at end of ingress (egress_spec == drop_port)
1745612618132511 - DROP: Packet 20 at end of ingress (egress_spec == drop_port)
1745612618132739 - DROP: Packet 0 at end of ingress (egress_spec == drop_port)
1745612618137180 - DROP: Packet 22 at end of ingress (egress_spec == drop_port)
1745612618144541 - DROP: Packet 21 at end of ingress (egress_spec == drop_port)
1745612618145641 - DROP: Packet 22 at end of ingress (egress_spec == drop_port)
1745612618145663 - DROP: Packet 1 at end of ingress (egress_spec == drop_port)
1745612618160157 - DROP: Packet 23 at end of ingress (egress_spec == drop_port)
1745612618161194 - DROP: Packet 2 at end of ingress (egress_spec == drop_port)
1745612618162307 - DROP: Packet 24 at end of ingress (egress_spec == drop_port)
1745612618165513 - DROP: Packet 25 at end of ingress (egress_spec == drop_port)
1745612618165554 - DROP: Packet 26 at end of ingress (egress_spec == drop_port)
1745612618196458 - DROP: Packet 23 at end of ingress (egress_spec == drop_port)
1745612618196461 - DROP: Packet 27 at end of ingress (egress_spec == drop_port)
1745612618209533 - DROP: Packet 24 at end of ingress (egress_spec == drop_port)
1745612618209742 - DROP: Packet 3 at end of ingress (egress_spec == drop_port)
1745612618225362 - DROP: Packet 25 at end of ingress (egress_spec == drop_port)
1745612618227538 - DROP: Packet 26 at end of ingress (egress_spec == drop_port)
1745612618227587 - DROP: Packet 27 at end of ingress (egress_spec == drop_port)
1745612618261025 - DROP: Packet 28 at end of ingress (egress_spec == drop_port)
1745612618273000 - DROP: Packet 28 at end of ingress (egress_spec == drop_port)
1745612618274216 - DROP: Packet 4 at end of ingress (egress_spec == drop_port)
1745612618278349 - DROP: Packet 29 at end of ingress (egress_spec == drop_port)
1745612618278392 - DROP: Packet 5 at end of ingress (egress_spec == drop_port)
1745612618282363 - DROP: Packet 6 at end of ingress (egress_spec == drop_port)
1745612618282368 - DROP: Packet 30 at end of ingress (egress_spec == drop_port)
1745612618325097 - DROP: Packet 29 at end of ingress (egress_spec == drop_port)
1745612618328294 - DROP: Packet 7 at end of ingress (egress_spec == drop_port)
1745612618328297 - DROP: Packet 31 at end of ingress (egress_spec == drop_port)
1745612618342279 - DROP: Packet 30 at end of ingress (egress_spec == drop_port)
1745612618343268 - DROP: Packet 32 at end of ingress (egress_spec == drop_port)
1745612618396318 - DROP: Packet 33 at end of ingress (egress_spec == drop_port)
1745612618396344 - DROP: Packet 8 at end of ingress (egress_spec == drop_port)
1745612618396449 - DROP: Packet 34 at end of ingress (egress_spec == drop_port)
1745612618407558 - DROP: Packet 35 at end of ingress (egress_spec == drop_port)
1745612618416308 - DROP: Packet 9 at end of ingress (egress_spec == drop_port)
1745612618418397 - DROP: Packet 36 at end of ingress (egress_spec == drop_port)
1745612618460160 - DROP: Packet 10 at end of ingress (egress_spec == drop_port)
1745612618461209 - DROP: Packet 31 at end of ingress (egress_spec == drop_port)
1745612618470214 - DROP: Packet 32 at end of ingress (egress_spec == drop_port)
1745612618522955 - DROP: Packet 11 at end of ingress (egress_spec == drop_port)
1745612618524145 - DROP: Packet 33 at end of ingress (egress_spec == drop_port)
1745612618529171 - DROP: Packet 12 at end of ingress (egress_spec == drop_port)
1745612618529226 - DROP: Packet 37 at end of ingress (egress_spec == drop_port)
1745612618544226 - DROP: Packet 13 at end of ingress (egress_spec == drop_port)
1745612618544363 - DROP: Packet 34 at end of ingress (egress_spec == drop_port)
1745612618592858 - DROP: Packet 35 at end of ingress (egress_spec == drop_port)
1745612618593813 - DROP: Packet 38 at end of ingress (egress_spec == drop_port)
1745612618595892 - DROP: Packet 39 at end of ingress (egress_spec == drop_port)
1745612618596093 - DROP: Packet 14 at end of ingress (egress_spec == drop_port)
1745612618597118 - DROP: Packet 40 at end of ingress (egress_spec == drop_port)
1745612618608335 - DROP: Packet 15 at end of ingress (egress_spec == drop_port)
1745612618608453 - DROP: Packet 16 at end of ingress (egress_spec == drop_port)
1745612618609267 - DROP: Packet 41 at end of ingress (egress_spec == drop_port)
1745612618609380 - DROP: Packet 36 at end of ingress (egress_spec == drop_port)
1745612618611137 - DROP: Packet 17 at end of ingress (egress_spec == drop_port)
1745612618611420 - DROP: Packet 42 at end of ingress (egress_spec == drop_port)
1745612618611614 - DROP: Packet 37 at end of ingress (egress_spec == drop_port)
1745612618611734 - DROP: Packet 38 at end of ingress (egress_spec == drop_port)
1745612618611850 - DROP: Packet 39 at end of ingress (egress_spec == drop_port)
1745612618611969 - DROP: Packet 40 at end of ingress (egress_spec == drop_port)
1745612618612090 - DROP: Packet 41 at end of ingress (egress_spec == drop_port)
1745612618614618 - DROP: Packet 43 at end of ingress (egress_spec == drop_port)
1745612618656928 - DROP: Packet 44 at end of ingress (egress_spec == drop_port)
